1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,SalePrice
1040.0,0.0,0.0,None,3,1Fam,TA,No,906.0,0.0,Rec,Unf,1,0,TA,134.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,None,None,0,CBlock,1,Typ,384.0,1,TA,Unf,TA,Detchd,1965.0,1040.0,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11200.0,Inside,70.0,Reg,0.0,20,RL,0.0,None,None,0.0,2,Sawyer,0.0,5,5,Y,0.0,None,CompShg,Hip,Normal,WD,0.0,Pave,5,1040.0,AllPub,0.0,1965,1965,2008,129500.0
1182.0,1142.0,0.0,None,4,1Fam,TA,No,998.0,0.0,GLQ,Unf,1,0,Ex,177.0,Y,Norm,Norm,SBrkr,0.0,TA,Ex,WdShing,Wd Shng,None,Gd,2,PConc,3,Typ,736.0,3,TA,Fin,TA,BuiltIn,2005.0,2324.0,0,GasA,Ex,2Story,1,Ex,Lvl,Gtl,11924.0,Inside,85.0,IR1,0.0,60,RL,286.0,Stone,None,0.0,7,NridgHt,21.0,5,9,Y,0.0,None,CompShg,Hip,Partial,New,0.0,Pave,11,1175.0,AllPub,147.0,2005,2006,2006,345000.0
912.0,0.0,0.0,None,2,1Fam,TA,No,737.0,0.0,ALQ,Unf,1,0,TA,175.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,Plywood,None,None,0,CBlock,1,Typ,352.0,1,TA,Unf,TA,Detchd,1962.0,912.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,12968.0,Inside,113.87712676389408,IR2,0.0,20,RL,0.0,None,None,0.0,9,Sawyer,0.0,6,5,Y,0.0,None,CompShg,Hip,Normal,WD,176.0,Pave,4,912.0,AllPub,140.0,1962,1962,2008,144000.0
1494.0,0.0,0.0,None,3,1Fam,None,None,0.0,0.0,None,None,0,0,None,1494.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,840.0,3,TA,RFn,TA,Attchd,2006.0,1494.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10652.0,Inside,91.0,IR1,0.0,20,RL,306.0,Stone,None,0.0,8,CollgCr,33.0,5,7,Y,0.0,None,CompShg,Gable,Partial,New,0.0,Pave,7,1494.0,AllPub,160.0,2006,2007,2007,279500.0
1253.0,0.0,0.0,None,2,1Fam,TA,No,733.0,0.0,BLQ,Unf,1,0,TA,520.0,Y,Norm,Norm,SBrkr,176.0,TA,TA,MetalSd,MetalSd,GdWo,Fa,1,CBlock,1,Typ,352.0,1,TA,RFn,TA,Attchd,1960.0,1253.0,1,GasA,TA,1Story,1,TA,Lvl,Gtl,10920.0,Corner,104.49880382090505,IR1,0.0,20,RL,212.0,BrkFace,None,0.0,5,NAmes,213.0,5,6,Y,0.0,None,CompShg,Hip,Normal,WD,0.0,Pave,5,1253.0,AllPub,0.0,1960,1960,2008,157000.0
854.0,0.0,0.0,None,2,1Fam,None,None,0.0,0.0,None,None,0,0,None,832.0,Y,Norm,Norm,FuseA,0.0,TA,TA,Wd Sdng,Wd Sdng,GdPrv,None,0,BrkTil,1,Typ,576.0,2,TA,Unf,TA,Detchd,1991.0,854.0,0,GasA,Ex,1.5Unf,1,TA,Lvl,Gtl,6120.0,Corner,51.0,Reg,0.0,45,RM,0.0,None,None,0.0,7,BrkSide,112.0,8,7,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,5,832.0,AllPub,48.0,1929,2001,2007,132000.0
1004.0,0.0,0.0,None,2,1Fam,TA,No,578.0,0.0,ALQ,Unf,1,0,TA,426.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,Wd Sdng,Wd Sdng,None,TA,1,CBlock,1,Typ,480.0,2,TA,Fin,TA,Attchd,1970.0,1004.0,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11241.0,CulDSac,59.9111111111111,IR1,0.0,20,RL,180.0,BrkFace,Shed,700.0,3,NAmes,0.0,7,6,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,5,1004.0,AllPub,0.0,1970,1970,2010,149000.0
1296.0,0.0,0.0,None,2,Duplex,None,None,0.0,0.0,None,None,0,0,None,0.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,MetalSd,MetalSd,None,None,0,Slab,2,Typ,516.0,2,TA,Unf,TA,CarPort,1967.0,1296.0,0,GasA,TA,1Story,2,TA,Lvl,Gtl,10791.0,Inside,72.0,Reg,0.0,90,RL,0.0,None,Shed,500.0,10,Sawyer,0.0,5,4,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,0.0,AllPub,0.0,1967,1967,2006,90000.0
1114.0,0.0,0.0,None,3,1Fam,TA,No,646.0,0.0,GLQ,Unf,1,0,TA,468.0,Y,RRAe,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,None,None,0,PConc,1,Typ,576.0,2,TA,Unf,TA,Detchd,2004.0,1114.0,1,GasA,Ex,1Story,1,Gd,Lvl,Gtl,13695.0,Inside,66.0,Reg,0.0,20,RL,0.0,None,None,0.0,6,SawyerW,102.0,5,5,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,1114.0,AllPub,0.0,2004,2004,2008,159000.0
1339.0,0.0,0.0,None,3,1Fam,TA,No,504.0,0.0,LwQ,Unf,0,0,TA,525.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,BrkFace,Plywood,MnPrv,None,0,CBlock,1,Min1,294.0,1,TA,Unf,TA,Attchd,1958.0,1339.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,7560.0,Inside,70.0,Reg,0.0,20,RL,0.0,None,None,0.0,5,NAmes,0.0,6,5,Y,0.0,None,CompShg,Hip,Abnorml,COD,0.0,Pave,6,1029.0,AllPub,0.0,1958,1965,2009,139000.0
1158.0,1218.0,0.0,None,4,1Fam,None,None,0.0,0.0,None,None,0,0,None,1158.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,3,Typ,853.0,3,TA,RFn,TA,BuiltIn,2005.0,2376.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,14215.0,Corner,101.0,IR1,0.0,60,RL,380.0,BrkFace,None,0.0,11,NridgHt,154.0,5,8,Y,0.0,None,CompShg,Gable,Partial,New,0.0,Pave,9,1158.0,AllPub,240.0,2005,2006,2006,325300.0
1108.0,0.0,0.0,Grvl,3,1Fam,None,None,0.0,0.0,None,None,0,0,None,637.0,Y,Norm,Norm,FuseF,205.0,TA,TA,Wd Sdng,Wd Sdng,GdPrv,Gd,1,PConc,1,Typ,280.0,1,TA,Unf,TA,Attchd,1930.0,1108.0,0,GasA,Ex,1.5Unf,1,Gd,Bnk,Gtl,7449.0,Inside,57.0,Reg,0.0,45,RM,0.0,None,None,0.0,6,IDOTRR,0.0,7,7,N,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,637.0,AllPub,0.0,1930,1950,2007,139400.0
1795.0,0.0,0.0,None,3,1Fam,None,None,0.0,0.0,None,None,0,0,None,1777.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,534.0,2,TA,RFn,TA,Attchd,2002.0,1795.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,9742.0,Inside,75.0,Reg,0.0,20,RL,281.0,BrkFace,None,0.0,9,CollgCr,159.0,5,8,Y,0.0,None,CompShg,Hip,Normal,WD,0.0,Pave,7,1777.0,AllPub,171.0,2002,2002,2008,230000.0
1060.0,0.0,0.0,None,3,TwnhsE,TA,No,840.0,0.0,GLQ,Unf,1,0,Gd,200.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,CemntBd,CmentBd,None,TA,1,PConc,1,Typ,572.0,2,TA,Unf,TA,Attchd,1976.0,1060.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,4224.0,Inside,44.0,Reg,0.0,120,RM,0.0,None,None,0.0,6,MeadowV,110.0,7,5,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,1040.0,AllPub,100.0,1976,1976,2007,129900.0
1060.0,0.0,0.0,None,3,1Fam,TA,Mn,188.0,668.0,Rec,ALQ,1,0,TA,204.0,Y,Norm,Norm,SBrkr,0.0,Gd,TA,Plywood,Plywood,MnPrv,TA,1,CBlock,1,Typ,270.0,1,TA,Unf,TA,Attchd,1968.0,1060.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,8246.0,Inside,90.80748867797192,IR1,0.0,20,RL,0.0,None,None,0.0,5,Sawyer,90.0,8,5,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,1060.0,AllPub,406.0,1968,2001,2010,154000.0
1600.0,0.0,0.0,None,3,1Fam,None,None,0.0,0.0,None,None,0,0,None,1566.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,890.0,3,TA,RFn,TA,Attchd,2007.0,1600.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,14230.0,Corner,110.0,Reg,0.0,20,RL,640.0,Stone,None,0.0,7,NridgHt,56.0,5,8,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,7,1566.0,AllPub,0.0,2007,2007,2009,256300.0
900.0,0.0,0.0,None,3,1Fam,TA,Mn,234.0,486.0,BLQ,Rec,0,1,TA,180.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,Wd Sdng,Wd Sdng,None,None,0,CBlock,1,Typ,576.0,2,TA,Unf,TA,Detchd,2005.0,900.0,0,GasA,TA,1Story,1,Gd,Lvl,Gtl,7200.0,Corner,60.0,Reg,0.0,20,RL,0.0,None,None,0.0,5,NAmes,32.0,7,5,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,5,900.0,AllPub,222.0,1951,2000,2010,134800.0
1704.0,0.0,0.0,None,3,1Fam,TA,No,1218.0,0.0,GLQ,Unf,1,0,Ex,486.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,772.0,3,TA,RFn,TA,Attchd,2008.0,1704.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11478.0,Inside,98.0,Reg,0.0,20,RL,200.0,Stone,None,0.0,5,NridgHt,50.0,5,8,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,7,1704.0,AllPub,0.0,2007,2008,2010,306000.0
1600.0,0.0,0.0,None,2,1Fam,TA,Gd,1277.0,0.0,BLQ,Unf,1,0,TA,207.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,MetalSd,MetalSd,None,Gd,2,CBlock,1,Typ,319.0,1,TA,RFn,TA,Attchd,1957.0,1600.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,16321.0,CulDSac,47.0,IR1,0.0,20,RL,0.0,None,None,0.0,12,NAmes,258.0,6,5,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,1484.0,AllPub,288.0,1957,1997,2006,207500.0
520.0,0.0,0.0,None,1,1Fam,None,None,0.0,0.0,None,None,0,0,None,520.0,N,Feedr,RRNn,SBrkr,87.0,TA,TA,MetalSd,MetalSd,None,None,0,BrkTil,1,Typ,240.0,1,TA,Unf,Fa,Detchd,1920.0,520.0,0,GasA,Fa,1Story,1,Fa,Lvl,Gtl,6324.0,Inside,60.0,IR1,0.0,30,RM,0.0,None,None,0.0,5,BrkSide,0.0,6,4,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,4,520.0,AllPub,49.0,1927,1950,2008,68500.0
649.0,668.0,0.0,Pave,3,1Fam,None,None,0.0,0.0,None,None,0,0,None,649.0,N,Feedr,Norm,SBrkr,172.0,Fa,TA,BrkFace,BrkFace,MnPrv,None,0,BrkTil,1,Typ,250.0,1,Fa,Unf,TA,Detchd,1920.0,1317.0,0,GasA,TA,2Story,1,TA,Lvl,Gtl,8500.0,Inside,50.0,Reg,0.0,70,C (all),0.0,None,None,0.0,7,IDOTRR,54.0,4,4,N,0.0,None,CompShg,Gambrel,Normal,WD,0.0,Pave,6,649.0,AllPub,0.0,1920,1950,2008,40000.0
1228.0,0.0,0.0,None,3,1Fam,None,None,0.0,0.0,None,None,0,0,None,1228.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,MnPrv,None,0,CBlock,1,Typ,271.0,1,TA,Unf,TA,Attchd,1966.0,1228.0,1,GasA,Gd,1Story,1,Gd,Lvl,Gtl,8544.0,CulDSac,59.9111111111111,IR1,0.0,20,RL,0.0,None,None,0.0,6,Sawyer,65.0,6,5,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,1228.0,AllPub,0.0,1966,2006,2008,149350.0
1234.0,0.0,0.0,None,3,1Fam,None,None,0.0,0.0,None,None,0,0,None,1234.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,484.0,2,TA,RFn,TA,Attchd,2007.0,1234.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11049.0,Corner,85.0,Reg,0.0,20,RL,0.0,None,None,0.0,1,CollgCr,30.0,5,8,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,7,1234.0,AllPub,0.0,2007,2007,2008,179900.0
1700.0,0.0,0.0,None,4,1Fam,TA,No,1018.0,0.0,Rec,Unf,0,1,TA,380.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,BrkFace,BrkFace,None,Gd,1,CBlock,1,Typ,447.0,2,TA,RFn,TA,Attchd,1959.0,1700.0,1,GasA,Gd,1Story,1,Gd,Lvl,Gtl,10552.0,Inside,70.0,IR1,0.0,20,RL,0.0,None,None,0.0,4,NAmes,38.0,5,5,Y,0.0,None,CompShg,Hip,Normal,WD,0.0,Pave,6,1398.0,AllPub,0.0,1959,1959,2010,165500.0
1561.0,0.0,0.0,None,2,TwnhsE,TA,No,1153.0,0.0,GLQ,Unf,1,0,Ex,408.0,Y,Norm,Norm,SBrkr,0.0,TA,Ex,MetalSd,MetalSd,None,Gd,1,PConc,2,Typ,556.0,2,TA,Fin,TA,Attchd,2005.0,1561.0,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,7313.0,Inside,60.0,Reg,0.0,120,RL,246.0,BrkFace,None,0.0,8,NridgHt,47.0,5,9,Y,0.0,None,CompShg,Hip,Normal,WD,0.0,Pave,6,1561.0,AllPub,203.0,2005,2005,2007,277500.0
1132.0,1320.0,0.0,None,4,1Fam,None,None,0.0,0.0,None,None,0,0,None,1117.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,3,Typ,691.0,3,TA,Fin,TA,BuiltIn,2004.0,2452.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,13418.0,Inside,108.0,Reg,0.0,60,RL,132.0,Stone,None,0.0,9,NridgHt,32.0,5,8,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,9,1117.0,AllPub,113.0,2004,2005,2006,309000.0
1097.0,0.0,0.0,None,3,1Fam,None,None,0.0,0.0,None,None,0,0,None,1097.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,None,None,0,PConc,1,Typ,672.0,2,TA,Unf,TA,Attchd,1995.0,1097.0,1,GasA,Ex,1Story,1,TA,Lvl,Gtl,10859.0,Corner,112.0,Reg,0.0,20,RL,0.0,None,None,0.0,6,CollgCr,64.0,5,5,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,1097.0,AllPub,392.0,1994,1995,2009,145000.0
1297.0,0.0,0.0,None,3,1Fam,TA,No,1213.0,0.0,Rec,Unf,0,1,TA,84.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,Wd Sdng,Wd Sdng,None,TA,1,CBlock,1,Typ,498.0,2,TA,Fin,TA,Attchd,1954.0,1297.0,0,GasA,Gd,1Story,1,TA,Lvl,Gtl,8532.0,Inside,74.0,Reg,0.0,20,RL,650.0,BrkFace,None,0.0,10,NAmes,0.0,6,5,Y,0.0,None,CompShg,Hip,Normal,WD,0.0,Pave,5,1297.0,AllPub,0.0,1954,1990,2009,153000.0
1057.0,0.0,0.0,None,3,1Fam,TA,No,731.0,0.0,GLQ,Unf,1,0,TA,326.0,Y,Norm,Norm,SBrkr,0.0,Gd,TA,VinylSd,VinylSd,None,None,0,CBlock,1,Typ,246.0,1,TA,Unf,TA,Detchd,1953.0,1057.0,0,GasA,TA,1Story,1,Gd,Lvl,Gtl,7922.0,Inside,68.0,Reg,0.0,20,RL,0.0,None,None,0.0,1,NAmes,52.0,7,5,Y,0.0,None,CompShg,Gable,Abnorml,WD,0.0,Pave,5,1057.0,AllPub,0.0,1953,2007,2010,109000.0
1324.0,0.0,0.0,None,3,1Fam,TA,No,643.0,0.0,Rec,Unf,0,0,TA,445.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,Wd Sdng,Wd Sdng,GdWo,TA,1,CBlock,2,Typ,440.0,2,TA,RFn,TA,Attchd,1965.0,1324.0,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,8658.0,Inside,84.0,Reg,0.0,20,RL,101.0,BrkFace,None,0.0,12,NAmes,138.0,5,6,Y,0.0,None,CompShg,Gable,Abnorml,WD,0.0,Pave,6,1088.0,AllPub,0.0,1965,1965,2006,160000.0
1328.0,0.0,0.0,None,2,1Fam,TA,Gd,967.0,0.0,BLQ,Unf,0,1,TA,383.0,Y,Norm,Norm,SBrkr,0.0,Gd,TA,VinylSd,VinylSd,None,Gd,2,CBlock,1,Typ,308.0,1,TA,RFn,TA,Attchd,1959.0,1328.0,1,GasA,Gd,1Story,1,TA,Lvl,Gtl,16905.0,Inside,115.0,Reg,0.0,20,RL,0.0,None,None,0.0,7,Timber,104.0,6,5,P,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,5,1350.0,AllPub,0.0,1959,1959,2007,170000.0
884.0,0.0,0.0,None,2,1Fam,TA,Av,747.0,93.0,ALQ,LwQ,1,0,Gd,0.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,MnPrv,None,0,CBlock,1,Typ,504.0,2,Gd,RFn,TA,Attchd,1983.0,884.0,0,GasA,Gd,SFoyer,1,Gd,Lvl,Gtl,9180.0,CulDSac,59.9111111111111,IR1,0.0,85,RL,0.0,None,None,0.0,12,SawyerW,0.0,7,5,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,5,840.0,AllPub,240.0,1983,1983,2007,144000.0
938.0,0.0,0.0,None,3,1Fam,TA,Av,280.0,491.0,LwQ,BLQ,1,0,Gd,167.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,MnPrv,None,0,CBlock,1,Typ,308.0,1,TA,Unf,TA,Detchd,1977.0,938.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,9200.0,CulDSac,59.9111111111111,IR1,0.0,20,RL,0.0,None,None,0.0,7,CollgCr,0.0,6,5,Y,0.0,None,CompShg,Hip,Normal,WD,0.0,Pave,5,938.0,AllPub,145.0,1975,1980,2008,130250.0
1150.0,0.0,0.0,None,3,1Fam,TA,No,179.0,506.0,ALQ,BLQ,1,0,TA,465.0,Y,Norm,Norm,FuseA,0.0,TA,TA,BrkFace,Wd Sdng,None,None,0,CBlock,1,Typ,300.0,1,TA,RFn,TA,Attchd,1959.0,1150.0,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,7945.0,Inside,70.0,Reg,0.0,20,RL,0.0,None,None,0.0,5,NAmes,0.0,6,5,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,1150.0,AllPub,0.0,1959,1959,2006,141000.0
